step, train_loss, train_time, train_acc, last_char_acc
0, 3.7195, 0.00, 0.0629, 0.0938
1, 4.3777, 6.08, 0.1719, 0.0938
2, 4.5168, 6.09, 0.1014, 0.1250
3, 4.0961, 6.10, 0.1171, 0.0312
4, 3.7971, 6.10, 0.0764, 0.1875
5, 3.5155, 6.11, 0.0676, 0.1250
6, 3.2224, 6.12, 0.0710, 0.0312
7, 3.0279, 6.12, 0.0745, 0.0938
8, 2.9195, 6.13, 0.0707, 0.0312
9, 2.9109, 6.13, 0.1731, 0.2812
10, 2.9647, 6.14, 0.1697, 0.1250
11, 2.9317, 6.15, 0.1753, 0.2812
12, 2.9167, 6.15, 0.1667, 0.2500
13, 2.9028, 6.16, 0.1654, 0.0938
14, 2.8898, 6.17, 0.1772, 0.2500
15, 2.8657, 6.17, 0.2140, 0.1875
16, 2.8436, 6.18, 0.1886, 0.2188
17, 2.8342, 6.18, 0.1925, 0.2188
18, 2.8366, 6.19, 0.1836, 0.1875
19, 2.8106, 6.20, 0.1984, 0.1250
20, 2.8124, 6.20, 0.2206, 0.1875
21, 2.8078, 6.21, 0.2048, 0.1562
22, 2.8274, 6.22, 0.2008, 0.2812
23, 2.7909, 6.22, 0.1949, 0.2500
24, 2.7877, 6.23, 0.1952, 0.1875
25, 2.7836, 6.24, 0.1941, 0.1562
26, 2.7853, 6.24, 0.1978, 0.0938
27, 2.7746, 6.25, 0.1980, 0.2500
28, 2.7547, 6.25, 0.1960, 0.2188
29, 2.7433, 6.26, 0.1998, 0.1250
30, 2.7266, 6.27, 0.2019, 0.2812
31, 2.7085, 6.27, 0.2084, 0.1250
32, 2.7111, 6.28, 0.2318, 0.1875
33, 2.7295, 6.29, 0.2218, 0.2500
34, 2.7055, 6.29, 0.2198, 0.1250
35, 2.6865, 6.30, 0.2230, 0.4062
36, 2.7025, 6.30, 0.2347, 0.1562
37, 2.6706, 6.31, 0.2483, 0.1875
38, 2.6593, 6.32, 0.2423, 0.1562
39, 2.6625, 6.32, 0.2358, 0.1562
40, 2.6400, 6.33, 0.2428, 0.2812
41, 2.6354, 6.34, 0.2412, 0.2188
42, 2.6359, 6.34, 0.2374, 0.2812
43, 2.5932, 6.35, 0.2494, 0.3438
44, 2.5940, 6.35, 0.2500, 0.2188
45, 2.5798, 6.36, 0.2472, 0.1562
46, 2.5702, 6.37, 0.2493, 0.2188
47, 2.5681, 6.37, 0.2493, 0.2188
48, 2.5807, 6.38, 0.2438, 0.2188
49, 2.5578, 6.39, 0.2527, 0.1875
50, 2.5474, 6.39, 0.2549, 0.3750
51, 2.5301, 6.40, 0.2609, 0.3125
52, 2.5486, 6.40, 0.2444, 0.3125
53, 2.5337, 6.41, 0.2539, 0.3750
54, 2.5291, 6.42, 0.2496, 0.2500
55, 2.5287, 6.42, 0.2617, 0.2500
56, 2.5196, 6.43, 0.2644, 0.3438
57, 2.4882, 6.44, 0.2709, 0.3125
58, 2.4996, 6.44, 0.2655, 0.4375
59, 2.5045, 6.45, 0.2598, 0.2188
60, 2.5073, 6.46, 0.2592, 0.2188
61, 2.5083, 6.46, 0.2543, 0.4375
62, 2.4899, 6.47, 0.2554, 0.1875
63, 2.5107, 6.48, 0.2529, 0.3438
64, 2.5124, 6.48, 0.2513, 0.2812
65, 2.4743, 6.49, 0.2578, 0.2500
66, 2.5016, 6.49, 0.2539, 0.2500
67, 2.4887, 6.50, 0.2583, 0.2500
68, 2.4536, 6.51, 0.2688, 0.2812
69, 2.4833, 6.51, 0.2563, 0.3125
70, 2.4574, 6.52, 0.2659, 0.4375
71, 2.4674, 6.53, 0.2678, 0.4062
72, 2.4336, 6.53, 0.2737, 0.2188
73, 2.4636, 6.54, 0.2585, 0.3438
74, 2.4856, 6.55, 0.2592, 0.2188
75, 2.4481, 6.55, 0.2679, 0.2812
76, 2.4634, 6.56, 0.2421, 0.2500
77, 2.4524, 6.57, 0.2610, 0.3750
78, 2.4656, 6.57, 0.2643, 0.2188
79, 2.4602, 6.58, 0.2632, 0.3125
80, 2.4507, 6.58, 0.2766, 0.3750
81, 2.4206, 6.59, 0.2717, 0.3125
82, 2.4540, 6.60, 0.2622, 0.3125
83, 2.4447, 6.60, 0.2656, 0.4375
84, 2.4402, 6.61, 0.2626, 0.1562
85, 2.4378, 6.62, 0.2644, 0.3438
86, 2.4267, 6.62, 0.2570, 0.3125
87, 2.4567, 6.63, 0.2631, 0.0938
88, 2.4307, 6.64, 0.2677, 0.2188
89, 2.4228, 6.64, 0.2646, 0.2500
90, 2.4407, 6.65, 0.2646, 0.2500
91, 2.4484, 6.66, 0.2548, 0.3125
92, 2.4108, 6.66, 0.2671, 0.2812
93, 2.4068, 6.67, 0.2740, 0.3125
94, 2.4230, 6.67, 0.2664, 0.2812
95, 2.4288, 6.68, 0.2595, 0.1562
96, 2.4182, 6.69, 0.2684, 0.3438
97, 2.4310, 6.69, 0.2733, 0.2188
98, 2.4053, 6.70, 0.2767, 0.2812
99, 2.4246, 6.71, 0.2595, 0.1875
100, 2.3948, 6.71, 0.2716, 0.3125
101, 2.4337, 6.72, 0.2594, 0.1875
102, 2.3755, 6.73, 0.2924, 0.2188
103, 2.4216, 6.73, 0.2734, 0.3438
104, 2.3940, 6.74, 0.2764, 0.1875
105, 2.3937, 6.74, 0.2684, 0.2812
106, 2.3676, 6.75, 0.2850, 0.1875
107, 2.3900, 6.76, 0.2770, 0.2500
108, 2.3664, 6.76, 0.2855, 0.2500
109, 2.4050, 6.77, 0.2704, 0.3750
110, 2.3800, 6.78, 0.2769, 0.2812
111, 2.3797, 6.78, 0.2809, 0.2188
112, 2.3852, 6.79, 0.2759, 0.2188
113, 2.3694, 6.80, 0.2866, 0.3438
114, 2.3376, 6.80, 0.3010, 0.1875
115, 2.3318, 6.81, 0.2916, 0.3125
116, 2.3555, 6.82, 0.2913, 0.2812
117, 2.3257, 6.82, 0.2927, 0.1875
118, 2.3339, 6.83, 0.2936, 0.2812
119, 2.3374, 6.84, 0.2888, 0.2500
120, 2.3245, 6.85, 0.2974, 0.3438
121, 2.3102, 6.85, 0.3026, 0.3125
122, 2.2871, 6.86, 0.3035, 0.3125
123, 2.3564, 6.87, 0.2810, 0.4062
124, 2.3249, 6.87, 0.3065, 0.2812
125, 2.2963, 6.88, 0.3102, 0.3750
126, 2.3162, 6.89, 0.3003, 0.2812
127, 2.2979, 6.90, 0.3076, 0.2812
128, 2.2483, 6.90, 0.3203, 0.3125
129, 2.3013, 6.91, 0.3108, 0.3750
130, 2.2912, 6.92, 0.3080, 0.2812
131, 2.2708, 6.92, 0.3080, 0.2500
132, 2.2578, 6.93, 0.3126, 0.2188
133, 2.2818, 6.94, 0.3118, 0.2188
134, 2.2672, 6.95, 0.3226, 0.3438
135, 2.2623, 6.95, 0.3218, 0.3750
136, 2.2834, 6.96, 0.3066, 0.2812
137, 2.2557, 6.97, 0.3082, 0.3750
138, 2.2550, 6.98, 0.3080, 0.3125
139, 2.2306, 6.98, 0.3280, 0.3438
140, 2.2336, 6.99, 0.3147, 0.3125
141, 2.2744, 7.00, 0.3080, 0.3750
142, 2.2397, 7.00, 0.3239, 0.2812
143, 2.2128, 7.01, 0.3298, 0.2188
144, 2.2555, 7.02, 0.3140, 0.3750
145, 2.1883, 7.03, 0.3315, 0.3438
146, 2.2254, 7.03, 0.3304, 0.4062
147, 2.2084, 7.04, 0.3285, 0.2812
148, 2.1953, 7.05, 0.3347, 0.3750
149, 2.2504, 7.05, 0.3141, 0.2188
150, 2.2212, 7.06, 0.3188, 0.3125
151, 2.1737, 7.07, 0.3491, 0.3125
152, 2.1634, 7.08, 0.3358, 0.2812
153, 2.1819, 7.08, 0.3364, 0.4062
154, 2.2120, 7.09, 0.3219, 0.3438
