step, train_loss, train_time, train_acc, last_char_acc
0, 3.7472, 0.00, 0.0574, 0.0000
1, 4.4220, 8.44, 0.1667, 0.1562
2, 4.4361, 8.45, 0.0668, 0.0781
3, 3.9668, 8.46, 0.1088, 0.1094
4, 3.6074, 8.48, 0.1365, 0.1719
5, 3.3859, 8.49, 0.1125, 0.0938
6, 3.1394, 8.50, 0.0876, 0.0781
7, 2.9378, 8.51, 0.1570, 0.1406
8, 2.8525, 8.53, 0.1716, 0.2188
9, 2.9148, 8.54, 0.1691, 0.1406
10, 2.8944, 8.55, 0.1717, 0.1094
11, 2.8542, 8.56, 0.1663, 0.2031
12, 2.8170, 8.58, 0.2060, 0.1562
13, 2.8162, 8.59, 0.1905, 0.2656
14, 2.8102, 8.60, 0.1664, 0.0781
15, 2.8006, 8.62, 0.1724, 0.2188
16, 2.7730, 8.63, 0.2062, 0.2031
17, 2.7335, 8.64, 0.2388, 0.1562
18, 2.7286, 8.65, 0.2398, 0.2500
19, 2.7086, 8.67, 0.2348, 0.2500
20, 2.7057, 8.68, 0.2424, 0.2812
21, 2.6962, 8.69, 0.2370, 0.1875
22, 2.6810, 8.70, 0.2435, 0.2031
23, 2.6745, 8.72, 0.2407, 0.2344
24, 2.6543, 8.73, 0.2414, 0.2812
25, 2.6363, 8.74, 0.2407, 0.2031
26, 2.6260, 8.75, 0.2548, 0.2656
27, 2.6241, 8.77, 0.2502, 0.2656
28, 2.6062, 8.78, 0.2528, 0.2812
29, 2.5904, 8.79, 0.2531, 0.1250
30, 2.5590, 8.80, 0.2674, 0.2031
31, 2.5654, 8.81, 0.2634, 0.2812
32, 2.5768, 8.83, 0.2544, 0.3125
33, 2.5511, 8.84, 0.2615, 0.2812
34, 2.5424, 8.85, 0.2672, 0.2969
35, 2.5407, 8.86, 0.2633, 0.2188
36, 2.5393, 8.88, 0.2595, 0.2188
37, 2.5335, 8.89, 0.2549, 0.2969
38, 2.5218, 8.90, 0.2631, 0.3125
39, 2.5186, 8.91, 0.2608, 0.2344
40, 2.5388, 8.93, 0.2558, 0.2969
41, 2.4891, 8.94, 0.2745, 0.3125
42, 2.5195, 8.95, 0.2512, 0.2344
43, 2.5003, 8.96, 0.2584, 0.0938
44, 2.5068, 8.98, 0.2549, 0.2500
45, 2.4817, 8.99, 0.2678, 0.2656
46, 2.4849, 9.00, 0.2659, 0.2656
47, 2.4881, 9.02, 0.2581, 0.1875
48, 2.4783, 9.03, 0.2631, 0.2031
49, 2.4437, 9.04, 0.2803, 0.3125
50, 2.4603, 9.05, 0.2701, 0.2656
51, 2.4788, 9.06, 0.2607, 0.2969
52, 2.4884, 9.08, 0.2585, 0.2656
53, 2.4712, 9.09, 0.2640, 0.2812
54, 2.4728, 9.10, 0.2681, 0.2500
55, 2.4600, 9.12, 0.2624, 0.2188
56, 2.4784, 9.13, 0.2596, 0.2656
57, 2.4700, 9.14, 0.2650, 0.2812
58, 2.4635, 9.15, 0.2613, 0.2500
59, 2.4148, 9.17, 0.2770, 0.4062
60, 2.4594, 9.18, 0.2628, 0.3125
61, 2.4653, 9.19, 0.2601, 0.2812
62, 2.4538, 9.21, 0.2604, 0.2344
63, 2.4304, 9.22, 0.2722, 0.3125
64, 2.4492, 9.23, 0.2639, 0.2344
65, 2.4549, 9.25, 0.2532, 0.2812
66, 2.4543, 9.26, 0.2601, 0.2969
67, 2.4187, 9.27, 0.2752, 0.2812
68, 2.4417, 9.29, 0.2625, 0.2031
69, 2.4309, 9.30, 0.2711, 0.2344
70, 2.4460, 9.31, 0.2600, 0.2344
71, 2.4476, 9.32, 0.2631, 0.2344
72, 2.4246, 9.34, 0.2663, 0.2500
73, 2.4396, 9.35, 0.2646, 0.2500
74, 2.4336, 9.36, 0.2705, 0.2344
75, 2.4199, 9.37, 0.2679, 0.2969
76, 2.4175, 9.39, 0.2767, 0.2344
77, 2.4167, 9.40, 0.2690, 0.2344
78, 2.4109, 9.41, 0.2712, 0.3125
79, 2.3954, 9.42, 0.2828, 0.2500
80, 2.4049, 9.44, 0.2748, 0.2812
81, 2.4142, 9.45, 0.2723, 0.2188
82, 2.4115, 9.46, 0.2679, 0.3125
83, 2.4081, 9.47, 0.2813, 0.2656
84, 2.4081, 9.49, 0.2705, 0.3594
85, 2.3859, 9.50, 0.2750, 0.2500
86, 2.4091, 9.51, 0.2784, 0.2969
87, 2.3959, 9.52, 0.2770, 0.2969
88, 2.3694, 9.54, 0.2856, 0.2656
89, 2.3610, 9.55, 0.2924, 0.2812
90, 2.3666, 9.56, 0.2858, 0.2031
91, 2.3616, 9.57, 0.2876, 0.3281
92, 2.3866, 9.59, 0.2873, 0.3594
93, 2.3819, 9.60, 0.2862, 0.2969
94, 2.3514, 9.61, 0.2954, 0.3594
95, 2.3207, 9.63, 0.3060, 0.2344
96, 2.3477, 9.64, 0.2990, 0.2344
97, 2.3113, 9.65, 0.3138, 0.2969
98, 2.3132, 9.66, 0.3079, 0.2031
99, 2.3224, 9.68, 0.3058, 0.2344
