step, train_loss, train_time, train_acc, last_char_acc
0, 3.7091, 0.00, 0.0604, 0.1250
1, 4.6452, 7.10, 0.1705, 0.1875
2, 4.2635, 7.10, 0.0824, 0.0625
3, 3.9139, 7.11, 0.0681, 0.0000
4, 3.5738, 7.12, 0.0922, 0.1562
5, 3.3081, 7.12, 0.1508, 0.3125
6, 3.0496, 7.13, 0.0958, 0.0312
7, 2.8787, 7.14, 0.1624, 0.2188
8, 2.8536, 7.14, 0.1677, 0.0312
9, 2.9212, 7.15, 0.1699, 0.1562
10, 2.8948, 7.16, 0.1678, 0.0938
11, 2.8494, 7.16, 0.1675, 0.0938
12, 2.8232, 7.17, 0.1991, 0.1875
13, 2.8115, 7.18, 0.2170, 0.2188
14, 2.7822, 7.18, 0.1960, 0.2500
15, 2.7783, 7.19, 0.2069, 0.1875
16, 2.7310, 7.20, 0.2303, 0.3125
17, 2.7472, 7.20, 0.2205, 0.1250
18, 2.6987, 7.21, 0.2572, 0.3125
19, 2.7261, 7.22, 0.2363, 0.4062
20, 2.7033, 7.22, 0.2344, 0.2812
21, 2.7224, 7.23, 0.2366, 0.2500
22, 2.6939, 7.24, 0.2432, 0.3438
23, 2.6759, 7.24, 0.2445, 0.2500
24, 2.6629, 7.25, 0.2373, 0.2812
25, 2.6251, 7.25, 0.2561, 0.1875
26, 2.6091, 7.26, 0.2562, 0.2812
27, 2.6208, 7.27, 0.2451, 0.2812
28, 2.5982, 7.27, 0.2537, 0.1562
29, 2.5810, 7.28, 0.2488, 0.2812
30, 2.5600, 7.29, 0.2535, 0.2188
31, 2.5572, 7.29, 0.2554, 0.2188
32, 2.5810, 7.30, 0.2585, 0.1875
33, 2.5431, 7.31, 0.2628, 0.1562
34, 2.5410, 7.31, 0.2563, 0.3750
35, 2.5565, 7.32, 0.2596, 0.3438
36, 2.5109, 7.33, 0.2711, 0.3125
37, 2.5414, 7.33, 0.2559, 0.3750
38, 2.5178, 7.34, 0.2561, 0.2188
39, 2.5242, 7.35, 0.2544, 0.3438
40, 2.5271, 7.35, 0.2479, 0.2500
41, 2.5317, 7.36, 0.2540, 0.2188
42, 2.4997, 7.37, 0.2542, 0.2812
43, 2.5084, 7.37, 0.2635, 0.1875
44, 2.5214, 7.38, 0.2474, 0.2188
45, 2.4935, 7.39, 0.2529, 0.2500
46, 2.4729, 7.39, 0.2603, 0.1562
47, 2.4733, 7.40, 0.2687, 0.3125
48, 2.4944, 7.41, 0.2678, 0.2188
49, 2.4780, 7.41, 0.2659, 0.3125
50, 2.4664, 7.42, 0.2750, 0.2500
51, 2.4934, 7.43, 0.2573, 0.3750
52, 2.4712, 7.43, 0.2646, 0.1562
53, 2.4828, 7.44, 0.2639, 0.2188
54, 2.4527, 7.45, 0.2611, 0.2812
55, 2.4591, 7.45, 0.2640, 0.3438
56, 2.4510, 7.46, 0.2539, 0.2812
57, 2.4869, 7.47, 0.2501, 0.1875
58, 2.4457, 7.47, 0.2621, 0.3125
59, 2.4487, 7.48, 0.2705, 0.2812
60, 2.4645, 7.48, 0.2677, 0.4062
61, 2.4315, 7.49, 0.2729, 0.2188
62, 2.4288, 7.50, 0.2629, 0.1562
63, 2.4943, 7.50, 0.2434, 0.3438
64, 2.4641, 7.51, 0.2560, 0.1875
65, 2.4287, 7.52, 0.2681, 0.2500
66, 2.4441, 7.53, 0.2654, 0.1562
67, 2.4745, 7.53, 0.2534, 0.2500
68, 2.4237, 7.54, 0.2758, 0.5000
69, 2.4171, 7.54, 0.2844, 0.2500
70, 2.4143, 7.55, 0.2726, 0.2500
71, 2.4556, 7.56, 0.2561, 0.2500
72, 2.4275, 7.56, 0.2603, 0.3438
73, 2.4397, 7.57, 0.2649, 0.2812
74, 2.4182, 7.58, 0.2760, 0.3750
75, 2.4158, 7.58, 0.2793, 0.4062
76, 2.4185, 7.59, 0.2826, 0.2812
77, 2.3796, 7.60, 0.2839, 0.2188
78, 2.3914, 7.60, 0.2821, 0.3125
79, 2.3845, 7.61, 0.2830, 0.2500
80, 2.3980, 7.62, 0.2842, 0.2812
81, 2.3788, 7.62, 0.2885, 0.2812
82, 2.3907, 7.63, 0.2920, 0.3125
83, 2.3829, 7.64, 0.2852, 0.3125
84, 2.3971, 7.64, 0.2799, 0.1562
85, 2.3615, 7.65, 0.2899, 0.3438
86, 2.3423, 7.66, 0.3015, 0.2812
87, 2.3510, 7.66, 0.2943, 0.3125
88, 2.3726, 7.67, 0.2811, 0.3750
89, 2.3529, 7.68, 0.2894, 0.3125
90, 2.3597, 7.68, 0.2871, 0.2500
91, 2.3541, 7.69, 0.2880, 0.3125
92, 2.3632, 7.70, 0.2886, 0.2812
93, 2.3346, 7.70, 0.2943, 0.4375
94, 2.3322, 7.71, 0.2953, 0.3125
95, 2.3560, 7.72, 0.2837, 0.4062
96, 2.3415, 7.72, 0.2993, 0.4062
97, 2.3221, 7.73, 0.3004, 0.2500
98, 2.2958, 7.74, 0.3079, 0.1250
99, 2.3362, 7.74, 0.2996, 0.3125
100, 2.3332, 7.75, 0.2963, 0.2812
