step, train_loss, train_time, train_acc, last_char_acc
0, 3.7987, 0.01, 0.0469, 0.0625
1, 4.4747, 4.50, 0.1658, 0.2812
2, 4.3781, 4.56, 0.0857, 0.1250
3, 3.9222, 4.62, 0.0728, 0.0312
4, 3.6334, 4.68, 0.0980, 0.1562
5, 3.3530, 4.74, 0.1215, 0.1562
6, 3.1218, 4.79, 0.1122, 0.0625
7, 2.9218, 4.85, 0.1379, 0.0938
8, 2.8601, 4.91, 0.1744, 0.1250
9, 2.9032, 4.97, 0.1686, 0.3125
10, 2.9057, 5.02, 0.1688, 0.1562
11, 2.8364, 5.08, 0.1743, 0.2812
12, 2.7931, 5.14, 0.1921, 0.1562
13, 2.8094, 5.20, 0.2113, 0.1250
14, 2.8097, 5.25, 0.2064, 0.2500
15, 2.7783, 5.31, 0.1906, 0.2812
16, 2.7617, 5.37, 0.1985, 0.2188
17, 2.7593, 5.43, 0.2136, 0.1562
18, 2.7199, 5.49, 0.2401, 0.2500
19, 2.6922, 5.54, 0.2490, 0.1562
20, 2.7036, 5.61, 0.2401, 0.2188
21, 2.6864, 5.66, 0.2506, 0.3438
22, 2.6626, 5.72, 0.2483, 0.2188
23, 2.6668, 5.78, 0.2458, 0.4062
24, 2.6472, 5.83, 0.2443, 0.2500
25, 2.6341, 5.89, 0.2430, 0.2812
26, 2.6104, 5.95, 0.2491, 0.1562
27, 2.6032, 6.01, 0.2579, 0.3438
28, 2.5839, 6.06, 0.2524, 0.0938
29, 2.5668, 6.12, 0.2612, 0.2500
30, 2.6038, 6.18, 0.2518, 0.1875
31, 2.5756, 6.23, 0.2584, 0.2500
32, 2.5840, 6.29, 0.2441, 0.1562
33, 2.5628, 6.35, 0.2467, 0.2812
34, 2.5455, 6.41, 0.2664, 0.3438
35, 2.5439, 6.47, 0.2623, 0.2500
36, 2.5464, 6.52, 0.2487, 0.2500
37, 2.5329, 6.58, 0.2606, 0.4062
38, 2.5555, 6.64, 0.2487, 0.3438
39, 2.5082, 6.70, 0.2600, 0.3438
40, 2.5093, 6.75, 0.2609, 0.2188
41, 2.5110, 6.81, 0.2565, 0.2188
42, 2.5150, 6.87, 0.2622, 0.4688
43, 2.5158, 6.93, 0.2472, 0.4062
44, 2.5098, 6.99, 0.2537, 0.1562
45, 2.4946, 7.04, 0.2638, 0.2500
46, 2.5048, 7.10, 0.2585, 0.1562
47, 2.5137, 7.16, 0.2537, 0.1562
48, 2.4977, 7.21, 0.2539, 0.3750
49, 2.5064, 7.27, 0.2567, 0.3750
50, 2.4704, 7.33, 0.2726, 0.2188
51, 2.4720, 7.39, 0.2583, 0.2500
52, 2.4642, 7.44, 0.2692, 0.3438
53, 2.4763, 7.50, 0.2638, 0.4688
54, 2.4819, 7.56, 0.2573, 0.2500
55, 2.4460, 7.62, 0.2742, 0.2500
56, 2.4937, 7.67, 0.2627, 0.2500
57, 2.4639, 7.73, 0.2623, 0.1562
58, 2.4869, 7.79, 0.2542, 0.1250
59, 2.4662, 7.85, 0.2601, 0.2500
60, 2.4891, 7.90, 0.2535, 0.4062
61, 2.4825, 7.96, 0.2501, 0.1875
62, 2.4951, 8.02, 0.2509, 0.2500
63, 2.4610, 8.07, 0.2653, 0.1875
64, 2.4623, 8.13, 0.2595, 0.2812
65, 2.4811, 8.19, 0.2574, 0.2812
66, 2.4574, 8.24, 0.2664, 0.1250
67, 2.4367, 8.30, 0.2714, 0.2500
68, 2.4243, 8.36, 0.2719, 0.2812
69, 2.4531, 8.42, 0.2697, 0.3125
70, 2.4812, 8.47, 0.2502, 0.2500
71, 2.4417, 8.53, 0.2723, 0.3750
72, 2.4468, 8.59, 0.2701, 0.3125
73, 2.4525, 8.64, 0.2584, 0.3125
74, 2.4181, 8.70, 0.2621, 0.3438
75, 2.4147, 8.76, 0.2654, 0.2500
76, 2.4405, 8.81, 0.2620, 0.3125
77, 2.4339, 8.87, 0.2660, 0.2500
78, 2.4113, 8.93, 0.2753, 0.3750
79, 2.4271, 8.98, 0.2673, 0.3438
80, 2.4269, 9.04, 0.2720, 0.2188
81, 2.4150, 9.10, 0.2692, 0.2500
82, 2.4523, 9.15, 0.2561, 0.2500
83, 2.4172, 9.21, 0.2592, 0.3125
84, 2.3968, 9.26, 0.2650, 0.1875
85, 2.4148, 9.32, 0.2664, 0.2812
86, 2.4158, 9.38, 0.2668, 0.3125
87, 2.4093, 9.43, 0.2791, 0.4062
88, 2.4196, 9.49, 0.2673, 0.3438
89, 2.4007, 9.55, 0.2715, 0.1875
90, 2.4298, 9.61, 0.2699, 0.3125
91, 2.4031, 9.66, 0.2687, 0.1875
92, 2.3936, 9.72, 0.2786, 0.4375
